id	GeneSymbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EnsemblGene	EnsemblTranscript	EntrezID
ENSG00000241484.8	ARHGAP8	3.36833213	-4.366621446	1.877426733	-2.325854516	0.020026313	0.079671725	ENSG00000241484	ENST00000336963;ENST00000356099;ENST00000389772;ENST00000389774;ENST00000396119;ENST00000412433;ENST00000447333;ENST00000460809;ENST00000469342;ENST00000469872;ENST00000495219;ENST00000498310	23779
ENSG00000222005.7	LINC01118	3.339027755	-4.363056027	1.346159945	-3.241112649	0.001190641	0.009315687	ENSG00000222005	ENST00000409518;ENST00000409912;ENST00000479311	388948
ENSG00000182533.6	CAV3	3.30846663	-4.354812628	1.683832251	-2.586250871	0.009702628	0.04675364	ENSG00000182533	ENST00000343849;ENST00000397368;ENST00000472766	859
ENSG00000279161.1	NA	3.335057964	-4.352548464	1.365169232	-3.188284912	0.001431194	0.010771215	ENSG00000279161	ENST00000624917	---
ENSG00000157423.16	HYDIN	3.232432296	-4.311889643	1.90065103	-2.268638258	0.023290333	0.088896368	ENSG00000157423	ENST00000288168;ENST00000309900;ENST00000321489;ENST00000378856;ENST00000393552;ENST00000393567;ENST00000536785;ENST00000537789;ENST00000538248;ENST00000538382;ENST00000538568;ENST00000539447;ENST00000539973;ENST00000540892;ENST00000541601;ENST00000542283;ENST00000542890;ENST00000543521;ENST00000543639;ENST00000545230;ENST00000545267;ENST00000546257;ENST00000546297	54768
ENSG00000230684.1	NA	4.97018419	-4.310359173	1.201394539	-3.587796543	0.000333484	0.003324606	ENSG00000230684	ENST00000414926	---
ENSG00000232696.1	NA	3.215082016	-4.297783149	1.495111471	-2.874557002	0.004045947	0.023991314	ENSG00000232696	ENST00000444077	---
ENSG00000230001.1	NA	3.186628311	-4.289999509	1.318218453	-3.254391941	0.001136354	0.008952988	ENSG00000230001	ENST00000457383	---
ENSG00000179242.14	CDH4	7.458225589	-4.278114128	1.094072091	-3.910267124	9.22E-05	0.00116817	ENSG00000179242	ENST00000543233;ENST00000611855;ENST00000614565	1002
ENSG00000267744.1	NA	4.808737531	-4.228246859	1.339811699	-3.155851575	0.001600303	0.011691333	ENSG00000267744	ENST00000592961	---
ENSG00000260555.1	NA	4.680148898	-4.221874838	1.322939267	-3.191283942	0.00141642	0.010687275	ENSG00000260555	ENST00000565102	---
ENSG00000106571.11	GLI3	3.02504349	-4.212219453	1.891345631	-2.227101903	0.025940464	0.096119191	ENSG00000106571	ENST00000395925;ENST00000428534;ENST00000437480;ENST00000448703;ENST00000464291;ENST00000479210	2737
ENSG00000231956.1	HNRNPA1P9	2.986659026	-4.207002256	1.261391414	-3.33520762	0.000852357	0.007082662	ENSG00000231956	ENST00000450624	---
ENSG00000227557.1	MTND3P9	4.511960637	-4.196941617	1.314110392	-3.193751183	0.001404371	0.010614594	ENSG00000227557	ENST00000429526	---
ENSG00000235397.1	EPN2-AS1	4.572895648	-4.187232932	1.294159233	-3.235485113	0.001214362	0.009488755	ENSG00000235397	ENST00000451099	100874018
ENSG00000248568.1	KRT8P48	2.933572274	-4.183308087	1.618619376	-2.584491542	0.00975227	0.046924509	ENSG00000248568	ENST00000515599	---
ENSG00000261734.1	NA	4.674150215	-4.181735961	1.401052941	-2.984709455	0.002838478	0.018355646	ENSG00000261734	ENST00000566804	---
ENSG00000169439.10	SDC2	22.34299853	-4.181372203	0.862611232	-4.847342633	1.25E-06	3.01E-05	ENSG00000169439	ENST00000302190;ENST00000518385;ENST00000519587;ENST00000519914;ENST00000520233;ENST00000521590;ENST00000522911;ENST00000523877	6383
ENSG00000174482.9	LINGO2	6.541645192	-4.179918828	1.207193525	-3.462509316	0.000535163	0.004870295	ENSG00000174482	ENST00000308675;ENST00000379992;ENST00000493941;ENST00000613945	158038
ENSG00000171532.4	NEUROD2	2.953303945	-4.177291663	1.704058713	-2.451377778	0.014231051	0.061960609	ENSG00000171532	ENST00000302584;ENST00000580874	4761
ENSG00000230184.1	SMYD3-IT1	9.116772832	-4.158072705	1.067257449	-3.896035307	9.78E-05	0.001226577	ENSG00000230184	ENST00000426929	---
ENSG00000146950.11	SHROOM2	2.888675213	-4.150891601	1.762973057	-2.354483856	0.018548449	0.075205762	ENSG00000146950	ENST00000380913;ENST00000418909;ENST00000452575;ENST00000493668	357
ENSG00000232824.1	PRR13P1	6.979372807	-4.145514151	1.094755365	-3.786703664	0.000152659	0.001772324	ENSG00000232824	ENST00000456678	---
ENSG00000166448.13	TMEM130	2.87121493	-4.134081042	1.796944868	-2.300616517	0.021413317	0.083714627	ENSG00000166448	ENST00000339375;ENST00000345589;ENST00000416379;ENST00000445790;ENST00000450876;ENST00000461092;ENST00000474857;ENST00000486839	222865
ENSG00000204283.3	LINC01973	2.831263475	-4.124858759	1.651575763	-2.49752924	0.012506215	0.056204886	ENSG00000204283	ENST00000374983	400624
ENSG00000196376.9	SLC35F1	2.815874914	-4.121482304	1.740205454	-2.368388338	0.017865772	0.073022661	ENSG00000196376	ENST00000360388;ENST00000621341	222553
ENSG00000232344.2	NA	4.389676188	-4.114426697	1.16323608	-3.537052166	0.00040462	0.003886678	ENSG00000232344	ENST00000457299	---
ENSG00000184956.14	MUC6	2.82305426	-4.105236876	1.824155341	-2.250486448	0.024418083	0.091947562	ENSG00000184956	ENST00000421673;ENST00000525923;ENST00000527242;ENST00000532016	4588
ENSG00000238184.1	CD81-AS1	2.77418931	-4.103235593	1.346562938	-3.047191837	0.002309902	0.015613193	ENSG00000238184	ENST00000413483;ENST00000427151	101927682
ENSG00000203995.8	ZYG11A	2.753887465	-4.087698193	1.453682096	-2.811961572	0.004924039	0.027807359	ENSG00000203995	ENST00000371528;ENST00000371532;ENST00000612017	440590
ENSG00000258561.1	NA	4.408119507	-4.085634367	1.275886481	-3.202192692	0.001363857	0.010375687	ENSG00000258561	ENST00000555377;ENST00000556361;ENST00000556874	---
ENSG00000268049.1	NA	4.280177047	-4.078213143	1.537458356	-2.652568199	0.007988199	0.040395035	ENSG00000268049	ENST00000599952	---
ENSG00000184194.5	GPR173	2.748361483	-4.069757874	1.664071568	-2.445662767	0.014458617	0.062622703	ENSG00000184194	ENST00000332582;ENST00000375466	54328
ENSG00000201078.1	RN7SKP214	2.69503501	-4.059721022	1.65843689	-2.447920114	0.014368351	0.062386537	ENSG00000201078	ENST00000364208	---
ENSG00000224357.1	ATG3P1	2.71426371	-4.056933036	1.422526489	-2.851920908	0.004345591	0.025324712	ENSG00000224357	ENST00000419507	---
ENSG00000279354.1	NA	2.703622459	-4.0543385	1.584196744	-2.559239259	0.010490152	0.049539845	ENSG00000279354	ENST00000623955	---
ENSG00000280065.1	NA	2.688190224	-4.039734478	1.731565549	-2.33299541	0.019648386	0.078538659	---	---	---
ENSG00000279082.2	LINC01727	5.579946241	-4.0392981	1.347676173	-2.997231961	0.002724433	0.017783078	ENSG00000279082	ENST00000622928;ENST00000623256;ENST00000624367;ENST00000624385	---
ENSG00000279020.1	C18orf15	2.650712427	-4.039229424	1.696805002	-2.380491229	0.017289573	0.071408345	ENSG00000279020	ENST00000623680	---
ENSG00000167800.9	TBX10	2.645375426	-4.034264297	1.832358351	-2.201678669	0.027688015	0.100613084	ENSG00000167800	ENST00000335385	347853
ENSG00000254289.1	IGHV3-32	4.223154029	-4.032129708	1.2663048	-3.184169964	0.001451697	0.010890947	ENSG00000254289	ENST00000519182	---
ENSG00000149256.13	TENM4	6.463389818	-4.030716296	1.427182885	-2.824246519	0.004739192	0.027072776	ENSG00000149256	ENST00000278550;ENST00000527736;ENST00000528688;ENST00000529798;ENST00000530738;ENST00000531583;ENST00000532654;ENST00000533013;ENST00000533038;ENST00000533074;ENST00000533525	26011
ENSG00000224081.6	SLC44A3-AS1	2.636798885	-4.029793191	2.045332041	-1.970239115	0.048810973	0.15012477	ENSG00000224081	ENST00000414374;ENST00000418366;ENST00000421997;ENST00000422162;ENST00000424505;ENST00000424711;ENST00000432162;ENST00000435559;ENST00000442418;ENST00000452922;ENST00000456551;ENST00000532087;ENST00000634339;ENST00000634861;ENST00000634870;ENST00000634937;ENST00000635184;ENST00000635408;ENST00000635440	101928079
ENSG00000261496.1	NA	4.236511125	-4.025775581	1.539071367	-2.615717287	0.008904025	0.043812311	---	---	---
ENSG00000229299.2	NA	3.993991937	-4.025366678	1.439702935	-2.795970321	0.005174415	0.028886912	ENSG00000229299	ENST00000433905;ENST00000447343	---
ENSG00000238959.1	RNU7-19P	2.658269605	-4.024875319	1.959102581	-2.054448479	0.039932305	0.130184241	ENSG00000238959	ENST00000459135	---
ENSG00000221855.1	TAS2R41	4.007549926	-4.021011616	1.168199976	-3.442057608	0.000577307	0.00516829	ENSG00000221855	ENST00000408916	259287
ENSG00000264167.1	NA	2.641904861	-4.015673555	1.531468801	-2.622106015	0.008738824	0.04317868	ENSG00000264167	ENST00000583598	---
ENSG00000198414.5	TATDN2P1	5.896504052	-4.006909716	1.215486387	-3.296548408	0.000978807	0.007925064	ENSG00000198414	ENST00000443767	---
ENSG00000266256.1	LINC00683	2.615130706	-4.00519807	1.613792778	-2.481854005	0.013070081	0.058019333	ENSG00000266256	ENST00000578803;ENST00000579781	400660
ENSG00000228653.2	HNRNPCP7	8.450642594	-4.000391529	1.265620264	-3.16081501	0.001573284	0.011540173	ENSG00000228653	ENST00000456056	---
ENSG00000255545.6	NA	4.060504333	-3.999811092	1.467941437	-2.724775656	0.006434519	0.034197705	ENSG00000255545	ENST00000528482;ENST00000531319;ENST00000532886;ENST00000533390	---
ENSG00000234423.1	LINC01250	2.542116028	-3.977366273	1.576041984	-2.523642336	0.011614603	0.053289606	ENSG00000234423	ENST00000457478	101927554
ENSG00000273175.1	NA	2.556135689	-3.976957222	2.007792968	-1.980760609	0.047618126	0.147354512	ENSG00000273175	ENST00000610145	---
ENSG00000224288.2	MTCYBP11	3.988747526	-3.968654487	1.273968653	-3.115190062	0.001838264	0.013063468	ENSG00000224288	ENST00000447254	---
ENSG00000197882.3	OR7E13P	2.546472628	-3.964724367	1.690480735	-2.345323602	0.019010572	0.076686001	ENSG00000197882	ENST00000526052	---
ENSG00000223305.1	RN7SKP30	2.538611156	-3.963565896	1.483778363	-2.671265464	0.007556586	0.038750591	ENSG00000223305	ENST00000411373	---
ENSG00000047617.13	ANO2	2.524133849	-3.960109141	1.767034636	-2.241104424	0.025019312	0.093642694	ENSG00000047617	ENST00000327087;ENST00000356134;ENST00000536751;ENST00000538154;ENST00000540543;ENST00000541487;ENST00000541874;ENST00000542326;ENST00000544988;ENST00000545860;ENST00000546188;ENST00000612575	57101
ENSG00000211967.3	IGHV3-53	8.716329726	-3.955586479	1.089475666	-3.630724947	0.000282626	0.002924583	ENSG00000211967	ENST00000390627	---
ENSG00000272482.1	NA	3.912766636	-3.953904279	1.380921957	-2.863235145	0.004193392	0.024668177	ENSG00000272482	ENST00000606790	---
ENSG00000274220.1	NA	4.035142327	-3.94813944	1.487304036	-2.654561102	0.007941166	0.040209571	ENSG00000274220	ENST00000621929	---
ENSG00000215397.3	SCRT2	52.71977888	-3.932775333	0.526774904	-7.465760616	8.28E-14	7.09E-12	ENSG00000215397	ENST00000246104	85508
ENSG00000279164.1	NA	10.44535901	-3.915204419	1.035974384	-3.779248288	0.000157303	0.001817998	ENSG00000279164	ENST00000623468	---
ENSG00000266100.1	NA	3.838011255	-3.914555691	1.474558351	-2.654730949	0.007937169	0.040206508	ENSG00000266100	ENST00000577189	101927557
ENSG00000258742.4	NA	3.938783613	-3.913984881	1.821911729	-2.148284584	0.031691155	0.110307181	ENSG00000258742	ENST00000553485;ENST00000554653;ENST00000556466;ENST00000557689	---
ENSG00000196542.7	SPTSSB	18.47871121	-3.91116378	0.820626949	-4.766067925	1.88E-06	4.30E-05	ENSG00000196542	ENST00000359175;ENST00000497137;ENST00000497374;ENST00000617024;ENST00000620149	165679
ENSG00000279616.1	NA	8.246122883	-3.899489325	1.141960522	-3.414732164	0.000638448	0.005603731	ENSG00000279616	ENST00000623904	---
ENSG00000199643.1	RNU4-90P	3.616558744	-3.851861233	1.34852882	-2.856343281	0.004285515	0.025029045	ENSG00000199643	ENST00000362773	---
ENSG00000232036.2	NA	7.450661157	-3.850386227	1.110024633	-3.468739443	0.000522906	0.004790052	ENSG00000232036	ENST00000245811	---
ENSG00000270379.4	HEATR9	10.16559133	-3.844233746	1.067087683	-3.602547201	0.000315114	0.003182506	ENSG00000270379	ENST00000603218;ENST00000603323;ENST00000603852;ENST00000603870;ENST00000604376;ENST00000604400;ENST00000604834;ENST00000605080	256957
ENSG00000272002.1	NA	3.718832542	-3.833908248	1.481464122	-2.587918393	0.009655785	0.046573693	ENSG00000272002	ENST00000606959	---
ENSG00000251152.1	NA	5.71109994	-3.823710863	1.183457515	-3.23096589	0.001233727	0.009614713	ENSG00000251152	ENST00000515343	---
ENSG00000252377.1	RNU6-504P	3.60071611	-3.822348308	1.388656908	-2.75255053	0.005913302	0.032086668	ENSG00000252377	ENST00000516568	---
ENSG00000229727.5	NA	3.588049668	-3.818563573	1.480107455	-2.579923207	0.009882229	0.047371146	ENSG00000229727	ENST00000419713;ENST00000435062;ENST00000441014;ENST00000444955;ENST00000450695;ENST00000457568	100506274
ENSG00000179157.4	RPS2P28	3.692020663	-3.816703681	1.678471503	-2.273916283	0.022971021	0.08806177	ENSG00000179157	ENST00000314255	---
ENSG00000260388.2	LINC00562	15.0644352	-3.813617085	0.911378488	-4.184449311	2.86E-05	0.000442991	ENSG00000260388	ENST00000566385	100861549
ENSG00000248936.1	NA	5.627383693	-3.795870877	1.182770965	-3.209303399	0.00133057	0.010185284	ENSG00000248936	ENST00000503034	---
ENSG00000273882.1	MIR8066	6.916176519	-3.792240753	1.12276415	-3.377593373	0.000731231	0.006235719	ENSG00000273882	ENST00000617280	102465868
ENSG00000221112.1	NA	5.071776017	-3.791918943	1.131181908	-3.35217432	0.000801795	0.006742873	---	---	---
ENSG00000169992.8	NLGN2	5.080461703	-3.790191762	1.191794193	-3.180240167	0.00147153	0.010984122	ENSG00000169992	ENST00000302926;ENST00000570940;ENST00000572893;ENST00000575301	57555
ENSG00000254789.1	NA	23.556598	-3.77901412	0.837258864	-4.513555225	6.37E-06	0.000120712	ENSG00000254789	ENST00000533082;ENST00000636967	---
ENSG00000211563.3	MIR3065	3.36884453	-3.768358457	1.266888827	-2.974498137	0.002934682	0.018844127	ENSG00000211563	ENST00000390137	100422915
ENSG00000274173.1	NA	21.24831502	-3.764623993	0.64342018	-5.85095729	4.89E-09	2.11E-07	ENSG00000274173	ENST00000620459	---
ENSG00000130876.10	SLC7A10	3.328796452	-3.762419137	1.302713231	-2.888140727	0.003875265	0.023253319	ENSG00000130876	ENST00000253188;ENST00000587064;ENST00000590036;ENST00000590490;ENST00000592596	56301
ENSG00000181291.5	TMEM132E	3.468063857	-3.750763468	1.588097731	-2.361796378	0.018186628	0.074055376	ENSG00000181291	ENST00000321639;ENST00000577271;ENST00000631683	124842
ENSG00000171017.9	LRRC8E	4.925619329	-3.742706037	1.336877963	-2.799586904	0.005116804	0.028622953	ENSG00000171017	ENST00000306708;ENST00000593511;ENST00000598224;ENST00000599367;ENST00000600345;ENST00000618098	80131
ENSG00000205500.7	NA	3.422404455	-3.738957287	1.31262949	-2.848448338	0.004393299	0.025527434	ENSG00000205500	ENST00000380387;ENST00000411685;ENST00000423923;ENST00000455081	---
ENSG00000212242.1	RNA5SP219	5.350764795	-3.738201865	1.267626492	-2.94897739	0.003188273	0.020054229	ENSG00000212242	ENST00000390940	---
ENSG00000207286.1	NA	3.395772295	-3.72598832	1.234439227	-3.018365132	0.002541425	0.016839964	ENSG00000207286	ENST00000384556	---
ENSG00000254851.1	NA	3.381426916	-3.723538117	1.203100369	-3.094952186	0.001968446	0.013769831	ENSG00000254851	ENST00000528464	---
ENSG00000224307.1	NA	15.75195482	-3.707365196	0.842094796	-4.402550892	1.07E-05	0.000188854	ENSG00000224307	ENST00000455981	101929331
ENSG00000279108.1	NA	9.310714113	-3.705277474	0.900235778	-4.115896707	3.86E-05	0.000569673	ENSG00000279108	ENST00000623128	---
ENSG00000148584.13	A1CF	3.37871436	-3.70512448	1.402694142	-2.641434344	0.008255581	0.04145627	ENSG00000148584	ENST00000282641;ENST00000373993;ENST00000373995;ENST00000373997;ENST00000374001;ENST00000395489;ENST00000395495;ENST00000414883;ENST00000473480;ENST00000493415	29974
ENSG00000239736.2	CEACAMP3	4.86176634	-3.700857262	1.42545262	-2.596268169	0.009424248	0.045736058	ENSG00000239736	ENST00000473762;ENST00000483806	---
ENSG00000184254.15	ALDH1A3	5.232332527	-3.699605219	1.20796131	-3.062685193	0.002193607	0.015025669	ENSG00000184254	ENST00000329841;ENST00000346623;ENST00000557963;ENST00000558033;ENST00000558869;ENST00000560555;ENST00000561338	220
ENSG00000254363.5	NA	9.84281939	-3.699077328	1.035564684	-3.572038894	0.000354213	0.003495971	ENSG00000254363	ENST00000523154;ENST00000607850	101929719
ENSG00000265135.1	MIR5687	3.435883673	-3.696491213	1.400663413	-2.639100286	0.008312639	0.041648862	ENSG00000265135	ENST00000581367	100847019
ENSG00000225300.1	NA	8.511233848	-3.695095643	0.956823501	-3.861836208	0.000112538	0.001371691	ENSG00000225300	ENST00000417786	---
ENSG00000221443.1	NA	4.752621732	-3.681325402	1.151228572	-3.197736307	0.001385109	0.010501047	---	---	---
ENSG00000223650.1	UHRF2P1	9.763062243	-3.679867979	0.947991297	-3.881752914	0.000103706	0.001286532	ENSG00000223650	ENST00000431339	---
ENSG00000278022.1	NA	4.719725369	-3.677834874	1.164634257	-3.157931214	0.00158893	0.011626165	ENSG00000278022	ENST00000618697	---
ENSG00000229696.1	KARSP1	7.033475029	-3.666135581	1.113034568	-3.293820053	0.000988358	0.007990402	ENSG00000229696	ENST00000451871	---
ENSG00000252233.1	RN7SKP253	4.393023046	-3.665264963	1.306809257	-2.804743649	0.005035661	0.028269103	ENSG00000252233	ENST00000516424	---
ENSG00000270591.1	NA	5.123096983	-3.659999491	1.310729897	-2.792336925	0.005232884	0.029162194	ENSG00000270591	ENST00000603373;ENST00000604583	---
ENSG00000251703.1	RNU6-998P	3.214046258	-3.658270747	1.423698624	-2.569554178	0.010182947	0.04843642	ENSG00000251703	ENST00000515894	---
ENSG00000258284.1	POLR2KP1	7.030863445	-3.65602894	1.163371976	-3.142613899	0.001674466	0.012124787	ENSG00000258284	ENST00000553226	---
ENSG00000174697.4	LEP	5.191510254	-3.653607696	1.4417286	-2.534185488	0.011270905	0.052116121	ENSG00000174697	ENST00000308868	3952
ENSG00000129159.6	KCNC1	3.210771053	-3.64870804	1.482452027	-2.461265507	0.013844787	0.060646408	ENSG00000129159	ENST00000265969;ENST00000379472;ENST00000525802;ENST00000526029;ENST00000638366;ENST00000638395;ENST00000638825;ENST00000639325;ENST00000639495;ENST00000640153;ENST00000640318;ENST00000640461;ENST00000640909	3746
ENSG00000235903.6	CPB2-AS1	62.96847989	-3.646115011	1.175534172	-3.101666542	0.001924346	0.013521182	ENSG00000235903	ENST00000415033;ENST00000606243;ENST00000606351;ENST00000606991	100509894
ENSG00000254484.1	NA	6.393767628	-3.628673943	1.214770981	-2.987125968	0.002816137	0.018241025	ENSG00000254484	ENST00000531426	---
ENSG00000229794.2	MTCYBP32	4.561524906	-3.613555036	1.219381638	-2.963432386	0.003042289	0.019374194	ENSG00000229794	ENST00000427945	---
ENSG00000111012.8	CYP27B1	4.930898385	-3.610961157	1.448349832	-2.493155367	0.012661343	0.056709325	ENSG00000111012	ENST00000228606;ENST00000546496;ENST00000546567;ENST00000546609;ENST00000547344;ENST00000547451;ENST00000552186	1594
ENSG00000261535.1	NA	4.597120047	-3.607860265	1.13225264	-3.18644456	0.001440331	0.010826228	ENSG00000261535	ENST00000566572	---
ENSG00000233401.1	PRKAR1AP1	4.868212392	-3.607587048	1.343721797	-2.684772291	0.007257924	0.037609529	ENSG00000233401	ENST00000441422	---
